danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.417,0.934,7,-3.908,0,0.11900000000000001,0.000278,0.0015,0.132,0.28700000000000003,127.066,audio_features,2DlHlPMa4M17kufBvI2lEN,spotify:track:2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/tracks/2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/audio-analysis/2DlHlPMa4M17kufBvI2lEN,210240,4
0.41300000000000003,0.873,8,-4.151,1,0.0536,0.00026399999999999997,0.00249,0.20400000000000001,0.48,116.68,audio_features,0snQkGI5qnAmohLE7jTsTn,spotify:track:0snQkGI5qnAmohLE7jTsTn,https://api.spotify.com/v1/tracks/0snQkGI5qnAmohLE7jTsTn,https://api.spotify.com/v1/audio-analysis/0snQkGI5qnAmohLE7jTsTn,218933,3
0.458,0.783,8,-3.226,0,0.0322,0.34600000000000003,6.14e-06,0.13,0.224,113.072,audio_features,4xBHZ2Mr0gCdFYXrPZuYXO,spotify:track:4xBHZ2Mr0gCdFYXrPZuYXO,https://api.spotify.com/v1/tracks/4xBHZ2Mr0gCdFYXrPZuYXO,https://api.spotify.com/v1/audio-analysis/4xBHZ2Mr0gCdFYXrPZuYXO,167907,3
0.41400000000000003,0.404,0,-9.928,0,0.0499,0.271,0.0,0.30000000000000004,0.224,71.105,audio_features,4u7EnebtmKWzUH433cf5Qv,spotify:track:4u7EnebtmKWzUH433cf5Qv,https://api.spotify.com/v1/tracks/4u7EnebtmKWzUH433cf5Qv,https://api.spotify.com/v1/audio-analysis/4u7EnebtmKWzUH433cf5Qv,354320,4
0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,audio_features,5T8EDUDqKcs6OSOwEsfqG7,spotify:track:5T8EDUDqKcs6OSOwEsfqG7,https://api.spotify.com/v1/tracks/5T8EDUDqKcs6OSOwEsfqG7,https://api.spotify.com/v1/audio-analysis/5T8EDUDqKcs6OSOwEsfqG7,209413,4
0.933,0.528,5,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967,audio_features,5vdp5UmvTsnMEMESIF2Ym7,spotify:track:5vdp5UmvTsnMEMESIF2Ym7,https://api.spotify.com/v1/tracks/5vdp5UmvTsnMEMESIF2Ym7,https://api.spotify.com/v1/audio-analysis/5vdp5UmvTsnMEMESIF2Ym7,214653,4
0.494,0.517,9,-12.172,0,0.11,0.491,0.025500000000000002,0.47000000000000003,0.2,108.939,audio_features,3Z4poAx8XqlR2xm7eFwQ37,spotify:track:3Z4poAx8XqlR2xm7eFwQ37,https://api.spotify.com/v1/tracks/3Z4poAx8XqlR2xm7eFwQ37,https://api.spotify.com/v1/audio-analysis/3Z4poAx8XqlR2xm7eFwQ37,209987,4
0.404,0.903,1,-3.88,1,0.0668,0.577,0.297,0.28700000000000003,0.498,115.672,audio_features,3k9i7UzeSUYWIfUZFeFDUd,spotify:track:3k9i7UzeSUYWIfUZFeFDUd,https://api.spotify.com/v1/tracks/3k9i7UzeSUYWIfUZFeFDUd,https://api.spotify.com/v1/audio-analysis/3k9i7UzeSUYWIfUZFeFDUd,423840,4
0.307,0.909,9,-7.08,0,0.0574,0.135,0.033600000000000005,0.125,0.443,173.674,audio_features,3uMmllZo1AfoEnVT4ENCD3,spotify:track:3uMmllZo1AfoEnVT4ENCD3,https://api.spotify.com/v1/tracks/3uMmllZo1AfoEnVT4ENCD3,https://api.spotify.com/v1/audio-analysis/3uMmllZo1AfoEnVT4ENCD3,366136,4
0.364,0.811,11,-7.237,1,0.0621,0.00268,0.009300000000000001,0.106,0.151,120.758,audio_features,1L2ZkXbRX00ZiaUDuMMgf7,spotify:track:1L2ZkXbRX00ZiaUDuMMgf7,https://api.spotify.com/v1/tracks/1L2ZkXbRX00ZiaUDuMMgf7,https://api.spotify.com/v1/audio-analysis/1L2ZkXbRX00ZiaUDuMMgf7,419893,4
0.47700000000000004,0.47900000000000004,7,-11.887,0,0.0483,0.0649,0.029,0.0906,0.662,122.531,audio_features,5UuikgHTxSRFRnC0zXx10i,spotify:track:5UuikgHTxSRFRnC0zXx10i,https://api.spotify.com/v1/tracks/5UuikgHTxSRFRnC0zXx10i,https://api.spotify.com/v1/audio-analysis/5UuikgHTxSRFRnC0zXx10i,396187,4
0.502,0.912,1,-4.556,1,0.056400000000000006,2.55e-05,0.000173,0.106,0.72,116.761,audio_features,1f3yAtsJtY87CTmM8RLnxf,spotify:track:1f3yAtsJtY87CTmM8RLnxf,https://api.spotify.com/v1/tracks/1f3yAtsJtY87CTmM8RLnxf,https://api.spotify.com/v1/audio-analysis/1f3yAtsJtY87CTmM8RLnxf,301920,4
0.274,0.726,9,-11.541,1,0.0449,0.000212,0.011300000000000001,0.0993,0.426,146.449,audio_features,4vJr55lngvhSM8WIh9CjQc,spotify:track:4vJr55lngvhSM8WIh9CjQc,https://api.spotify.com/v1/tracks/4vJr55lngvhSM8WIh9CjQc,https://api.spotify.com/v1/audio-analysis/4vJr55lngvhSM8WIh9CjQc,422933,4
0.454,0.91,6,-7.766,1,0.0448,0.08660000000000001,0.09960000000000001,0.116,0.629,125.116,audio_features,7o2CTH4ctstm8TNelqjb51,spotify:track:7o2CTH4ctstm8TNelqjb51,https://api.spotify.com/v1/tracks/7o2CTH4ctstm8TNelqjb51,https://api.spotify.com/v1/audio-analysis/7o2CTH4ctstm8TNelqjb51,354520,4
0.393,0.364,5,-10.945,0,0.0345,0.0021000000000000003,0.0703,0.121,0.308,118.566,audio_features,1SDiiE3v2z89VxC3aVRKHQ,spotify:track:1SDiiE3v2z89VxC3aVRKHQ,https://api.spotify.com/v1/tracks/1SDiiE3v2z89VxC3aVRKHQ,https://api.spotify.com/v1/audio-analysis/1SDiiE3v2z89VxC3aVRKHQ,444148,3
0.539,0.8280000000000001,4,-9.11,0,0.0361,0.000721,0.438,0.198,0.587,105.303,audio_features,01ICFoBoco3TaM5r3HthXy,spotify:track:01ICFoBoco3TaM5r3HthXy,https://api.spotify.com/v1/tracks/01ICFoBoco3TaM5r3HthXy,https://api.spotify.com/v1/audio-analysis/01ICFoBoco3TaM5r3HthXy,515387,4
0.466,0.833,7,-4.215,1,0.304,0.026600000000000002,0.0,0.0327,0.661,88.785,audio_features,59WN2psjkt1tyaxjspN8fp,spotify:track:59WN2psjkt1tyaxjspN8fp,https://api.spotify.com/v1/tracks/59WN2psjkt1tyaxjspN8fp,https://api.spotify.com/v1/audio-analysis/59WN2psjkt1tyaxjspN8fp,313573,4
0.20800000000000002,0.8320000000000001,9,-11.009,1,0.062400000000000004,0.0035600000000000002,0.053700000000000005,0.199,0.648,156.938,audio_features,2PHYxHUFjHUGmdj8MbVINJ,spotify:track:2PHYxHUFjHUGmdj8MbVINJ,https://api.spotify.com/v1/tracks/2PHYxHUFjHUGmdj8MbVINJ,https://api.spotify.com/v1/audio-analysis/2PHYxHUFjHUGmdj8MbVINJ,429973,4
